Language/Topic,Name,Course/Project,Link,University/Company/YouTube Page,Ratings,Level,Reviews,Enrolled Students,Payment,Views,Platform
Data Structures,Data Structures and Algorithms,SPECIALIZATION,https://www.coursera.org/specializations/data-structures-algorithms-tsinghua,Tsinghua University,4.5,Intermediate,21,NA,P,NA,Coursera
Data Structures,Python for Everybody,SPECIALIZATION,https://www.coursera.org/specializations/python,University of Michigan,4.8,Beginner,199756,NA,P,NA,Coursera
Data Structures,Introduction to Programming in C,SPECIALIZATION,https://www.coursera.org/specializations/c-programming,Duke University,4.6,Beginner,5201,NA,P,NA,Coursera
Data Structures,Software Design and Architecture,SPECIALIZATION,https://www.coursera.org/specializations/software-design-architecture,University of Alberta,4.6,Beginner,1969,NA,P,NA,Coursera
Data Structures,"Algorithms, Part II",COURSE,https://www.coursera.org/learn/algorithms-part2,Princeton University,4.9,Intermediate,1453,NA,P,NA,Coursera
Data Structures,Object Oriented Programming in Java,SPECIALIZATION,https://www.coursera.org/specializations/object-oriented-programming,Duke University,4.6,Beginner,11124,NA,P,NA,Coursera
Data Structures,Object-Oriented Data Structures in C++,COURSE,https://www.coursera.org/learn/cs-fundamentals-1,University of Illinois at Urbana-Champaign,4.7,Intermediate,1585,NA,P,NA,Coursera
Data Structures,IBM Data Science,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-science,IBM,4.6,Beginner,64437,NA,P,NA,Coursera
Data Structures,Coding for Everyone: C and C++,SPECIALIZATION,https://www.coursera.org/specializations/coding-for-everyone,University of CaliforniaSanta Cruz,4.5,Beginner,5218,NA,P,NA,Coursera
Data Structures,Applied Data Science,SPECIALIZATION,https://www.coursera.org/specializations/applied-data-science,IBM,4.6,Beginner,26149,NA,P,NA,Coursera
Data Structures,Big Data,SPECIALIZATION,https://www.coursera.org/specializations/big-data,University of California San Diego,4.5,Beginner,11235,NA,P,NA,Coursera
Data Structures,Accelerated Computer Science Fundamentals,SPECIALIZATION,https://www.coursera.org/specializations/cs-fundamentals,University of Illinois at Urbana-Champaign,4.7,Intermediate,1739,NA,P,NA,Coursera
Data Structures,Python Data Structures,COURSE,https://www.coursera.org/learn/python-data,University of Michigan,4.9,Mixed,77294,NA,P,NA,Coursera
